|-----|------------------------------|
| dB  |   tUI    |   EH   |    EW    |
|  4  | 125.00ps | 0.510V | 113.86ps |
|  4  | 125.00ps | 0.510V | 113.85ps |
|  4  | 125.00ps | 0.509V | 113.83ps |
|  4  | 125.00ps | 0.509V | 113.82ps |
|  4  | 125.00ps | 0.508V | 113.80ps |
|  4  | 125.00ps | 0.508V | 113.79ps |
|  4  | 125.00ps | 0.507V | 113.77ps |
|  4  | 125.00ps | 0.507V | 113.76ps |
|  4  | 125.00ps | 0.506V | 113.74ps |
|  4  | 125.00ps | 0.506V | 113.73ps |
|  4  | 125.00ps | 0.505V | 113.71ps |
|  4  | 125.00ps | 0.505V | 113.70ps |
|  4  | 125.00ps | 0.504V | 113.68ps |
|  4  | 125.00ps | 0.504V | 113.67ps |
|  4  | 125.00ps | 0.503V | 113.65ps |
|  4  | 125.00ps | 0.503V | 113.64ps |
|  4  | 125.00ps | 0.502V | 113.63ps |
|  4  | 125.00ps | 0.502V | 113.61ps |
|  4  | 125.00ps | 0.501V | 113.60ps |
|  4  | 125.00ps | 0.501V | 113.58ps |
|  4  | 125.00ps | 0.500V | 113.57ps |
|  4  | 125.00ps | 0.500V | 113.55ps |
|  4  | 125.00ps | 0.499V | 113.54ps |
|  4  | 125.00ps | 0.499V | 113.52ps |
|  4  | 125.00ps | 0.498V | 113.51ps |
|  4  | 125.00ps | 0.498V | 113.49ps |
|  4  | 125.00ps | 0.497V | 113.48ps |
|  4  | 125.00ps | 0.497V | 113.46ps |
|  4  | 125.00ps | 0.496V | 113.45ps |
|  4  | 125.00ps | 0.496V | 113.44ps |
|  4  | 125.00ps | 0.495V | 113.42ps |
|  4  | 125.00ps | 0.495V | 113.41ps |
|  4  | 125.00ps | 0.494V | 113.39ps |
|  4  | 125.00ps | 0.494V | 113.38ps |
|  4  | 125.00ps | 0.493V | 113.36ps |
|  4  | 125.00ps | 0.493V | 113.35ps |
|  4  | 125.00ps | 0.492V | 113.33ps |
|  4  | 125.00ps | 0.492V | 113.32ps |
|  4  | 125.00ps | 0.491V | 113.30ps |
|  4  | 125.00ps | 0.491V | 113.29ps |
|  4  | 125.00ps | 0.490V | 113.27ps |
|  4  | 125.00ps | 0.490V | 113.26ps |
|  4  | 125.00ps | 0.489V | 113.25ps |
|  4  | 125.00ps | 0.489V | 113.23ps |
|  4  | 125.00ps | 0.488V | 113.22ps |
|  4  | 125.00ps | 0.488V | 113.20ps |
|  4  | 125.00ps | 0.487V | 113.19ps |
|  4  | 125.00ps | 0.487V | 113.17ps |
|  4  | 125.00ps | 0.487V | 113.16ps |
|  4  | 125.00ps | 0.486V | 113.14ps |
|  4  | 125.00ps | 0.486V | 113.13ps |
|  4  | 125.00ps | 0.485V | 113.11ps |
|  4  | 125.00ps | 0.485V | 113.10ps |
|  4  | 125.00ps | 0.484V | 113.08ps |
|  4  | 125.00ps | 0.484V | 113.07ps |
|  4  | 125.00ps | 0.483V | 113.06ps |
|  4  | 125.00ps | 0.483V | 113.04ps |
|  4  | 125.00ps | 0.482V | 113.03ps |
|  4  | 125.00ps | 0.482V | 113.01ps |
|  4  | 125.00ps | 0.481V | 113.00ps |
|  4  | 125.00ps | 0.481V | 112.98ps |
|  4  | 125.00ps | 0.480V | 112.97ps |
|  4  | 125.00ps | 0.480V | 112.95ps |
|  4  | 125.00ps | 0.479V | 112.94ps |
|  4  | 125.00ps | 0.479V | 112.93ps |
|  4  | 125.00ps | 0.478V | 112.91ps |
|  4  | 125.00ps | 0.478V | 112.90ps |
|  4  | 125.00ps | 0.478V | 112.88ps |
|  4  | 125.00ps | 0.477V | 112.87ps |
|  4  | 125.00ps | 0.477V | 112.85ps |
|  4  | 125.00ps | 0.476V | 112.84ps |
